Minute,Team1 Gold,Team2 Gold,Winning Team
5,7330,7881,Team1
6,8697,9659,Team1
7,10387,10630,Team1
8,13493,12735,Team1
9,14932,14587,Team1
10,16826,16948,Team1
11,19971,18111,Team1
12,22656,20418,Team1
13,24429,22557,Team1
14,27269,24143,Team1
15,29377,25528,Team1
16,30638,26896,Team1
17,32949,29036,Team1
18,35971,31739,Team1
19,38842,32751,Team1
20,39899,35453,Team1
21,41654,36607,Team1
22,46194,37849,Team1
23,47396,39052,Team1
24,48130,43359,Team1
25,51971,45350,Team1
26,53232,48438,Team1
27,55267,50140,Team1
28,57196,52753,Team1
29,60526,54024,Team1
30,62329,55452,Team1
31,66347,56318,Team1
31,66368,56340,Team1
